朝楼,螟沥家疙,固技刚瘤PM-10(Ф/З),檬固技刚瘤PM-25(Ф/З),坷粮O3(ppm),捞魂拳龙家NO2(ppm),老魂拳藕家CO(ppm),酒炔魂啊胶SO2(ppm)
2016-03-09,己悼备,49,15,0.029,0.016,0.3,0.005
2016-03-10,己悼备,39,14,0.031,0.016,0.3,0.005
2016-03-11,己悼备,37,16,0.03,0.021,0.3,0.005
2016-03-12,己悼备,48,17,0.023,0.033,0.4,0.006
2016-03-13,己悼备,68,32,0.031,0.031,0.5,0.006
2016-03-14,己悼备,69,37,0.034,0.028,0.5,0.005
2016-03-15,己悼备,65,25,0.016,0.053,0.6,0.006
2016-03-16,己悼备,72,28,0.016,0.058,0.6,0.008
2016-03-17,己悼备,79,34,0.007,0.067,0.9,0.007
2016-03-18,己悼备,58,22,0.035,0.036,0.4,0.007
2016-03-19,己悼备,91,37,0.018,0.047,0.7,0.006
2016-03-20,己悼备,97,42,0.02,0.045,0.7,0.007
2016-03-21,己悼备,96,44,0.019,0.053,0.8,0.007
2016-03-22,己悼备,75,38,0.026,0.044,0.5,0.007
2016-03-23,己悼备,90,40,0.032,0.029,0.5,0.006
2016-03-24,己悼备,43,20,0.029,0.027,0.3,0.006
2016-03-25,己悼备,81,33,0.02,0.045,0.5,0.006
2016-03-26,己悼备,77,37,0.025,0.042,0.5,0.006
2016-03-27,己悼备,82,37,0.036,0.036,0.5,0.007
2016-03-28,己悼备,77,35,0.031,0.047,0.5,0.007
2016-03-29,己悼备,109,46,0.051,0.037,0.5,0.008
2016-03-30,己悼备,110,45,0.027,0.045,0.4,0.006
2016-03-31,己悼备,68,22,0.014,0.061,0.5,0.007
2016-04-01,己悼备,91,28,0.021,0.068,0.6,0.007
2016-04-02,己悼备,106,37,0.037,0.056,0.5,0.007
2016-04-03,己悼备,58,29,0.031,0.026,0.4,0.006
2016-04-04,己悼备,33,11,0.021,0.035,0.3,0.006
2016-04-05,己悼备,68,18,0.029,0.041,0.3,0.007
2016-04-06,己悼备,82,30,0.026,0.054,0.4,0.007
2016-04-07,己悼备,44,20,0.032,0.032,0.4,0.006
2016-04-08,己悼备,83,32,0.029,0.036,0.4,0.006
2016-04-09,己悼备,130,47,0.018,0.044,0.7,0.007
2016-04-10,己悼备,147,54,0.037,0.034,0.8,0.007
2016-04-11,己悼备,51,18,0.035,0.031,0.3,0.006
2016-04-12,己悼备,62,24,0.027,0.04,0.3,0.006
2016-04-13,己悼备,66,28,0.018,0.049,0.5,0.006
2016-04-14,己悼备,62,26,0.014,0.048,0.5,0.006
2016-04-15,己悼备,61,26,0.03,0.042,0.5,0.007
2016-04-16,己悼备,60,26,0.028,0.043,0.7,0.007
2016-04-17,己悼备,56,18,0.042,0.015,0.4,0.007
2016-04-18,己悼备,75,23,0.035,0.026,0.4,0.007
2016-04-19,己悼备,53,22,0.027,0.036,0.4,0.007
2016-04-20,己悼备,75,31,0.02,0.048,0.7,0.007
2016-04-21,己悼备,30,18,0.028,0.032,0.5,0.007
2016-04-22,己悼备,94,50,0.031,0.034,0.8,0.007
2016-04-23,己悼备,237,41,0.024,0.035,0.7,0.007
2016-04-24,己悼备,175,27,0.028,0.035,0.5,0.007
2016-04-25,己悼备,95,24,0.02,0.053,0.7,0.007
2016-04-26,己悼备,92,29,0.035,0.04,0.7,0.007
2016-04-27,己悼备,59,18,0.052,0.018,0.3,0.007
2016-04-28,己悼备,70,20,0.036,0.035,0.3,0.007
2016-04-29,己悼备,74,26,0.039,0.033,0.3,0.008
2016-04-30,己悼备,97,38,0.052,0.032,0.6,0.008
2016-05-01,己悼备,60,23,0.039,0.033,0.6,0.007
2016-05-02,己悼备,54,25,0.022,0.037,0.7,0.007
2016-05-03,己悼备,19,9,0.028,0.017,0.4,0.006
2016-05-04,己悼备,57,14,0.039,0.022,0.2,0.007
2016-05-05,己悼备,67,23,0.024,0.043,0.8,0.007
2016-05-06,己悼备,53,19,0.013,0.037,0.7,0.007
2016-05-07,己悼备,119,20,0.025,0.029,0.5,0.007
2016-05-08,己悼备,67,18,0.033,0.03,0.6,0.007
2016-05-09,己悼备,75,26,0.032,0.037,0.6,0.007
2016-05-10,己悼备,36,15,0.04,0.018,0.5,0.007
2016-05-11,己悼备,36,16,0.031,0.033,0.4,0.007
2016-05-12,己悼备,35,15,0.036,0.034,0.5,0.008
2016-05-13,己悼备,45,23,0.048,0.028,0.5,0.007
2016-05-14,己悼备,43,19,0.043,0.034,0.6,0.007
2016-05-15,己悼备,40,21,0.039,0.024,0.6,0.007
2016-05-16,己悼备,43,18,0.045,0.025,0.5,0.008
2016-05-17,己悼备,74,34,0.039,0.049,0.9,0.009
2016-05-18,己悼备,63,29,0.026,0.055,0.9,0.008
2016-05-19,己悼备,51,21,0.028,0.048,0.7,0.007
2016-05-20,己悼备,62,29,0.036,0.053,0.6,0.006
2016-05-21,己悼备,42,26,0.043,0.039,0.3,0.006
2016-05-22,己悼备,79,38,0.048,0.037,0.5,0.006
2016-05-23,己悼备,85,46,0.04,0.051,0.7,0.006
2016-05-24,己悼备,36,21,0.042,0.024,0.4,0.006
2016-05-25,己悼备,97,57,0.053,0.027,0.7,0.006
2016-05-26,己悼备,115,65,0.034,0.046,1,0.007
2016-05-27,己悼备,97,49,0.031,0.045,1,0.007
2016-05-28,己悼备,90,39,0.035,0.046,0.8,0.007
2016-05-29,己悼备,105,43,0.04,0.042,0.9,0.007
2016-05-30,己悼备,105,53,0.047,0.039,0.8,0.007
2016-05-31,己悼备,86,42,0.042,0.032,0.5,0.007
2016-06-01,己悼备,48,23,0.043,0.023,0.3,0.006
2016-06-02,己悼备,51,18,0.037,0.036,0.2,0.006
2016-06-03,己悼备,64,26,0.037,0.045,0.3,0.007
2016-06-04,己悼备,67,32,0.026,0.047,0.4,0.007
2016-06-05,己悼备,61,33,0.052,0.042,0.6,0.008
2016-06-06,己悼备,,,,,,
2016-06-07,己悼备,62,25,0.041,0.041,0.4,0.007
2016-06-08,己悼备,45,23,0.024,0.031,0.2,0.006
2016-06-09,己悼备,64,31,0.024,0.04,0.3,0.006
2016-06-10,己悼备,79,39,0.033,0.043,0.4,0.006
2016-06-11,己悼备,53,32,0.023,0.025,0.3,0.007
2016-06-12,己悼备,31,19,0.022,0.016,0.2,0.006
2016-06-13,己悼备,65,38,0.024,0.032,0.5,0.007
2016-06-14,己悼备,58,32,0.033,0.036,0.4,0.007
2016-06-15,己悼备,37,22,0.027,0.025,0.2,0.007
2016-06-16,己悼备,32,17,0.04,0.022,0.3,0.007
2016-06-17,己悼备,58,38,0.05,0.029,0.4,0.007
2016-06-18,己悼备,75,51,0.048,0.046,0.7,0.008
2016-06-19,己悼备,52,31,0.033,0.039,0.6,0.008
2016-06-20,己悼备,58,36,0.051,0.038,0.6,0.008
2016-06-21,己悼备,66,43,0.046,0.058,0.7,0.008
2016-06-22,己悼备,65,46,0.042,0.045,0.8,0.007
2016-06-23,己悼备,47,25,0.034,0.033,0.5,0.007
2016-06-24,己悼备,70,24,0.029,0.025,0.3,0.004
2016-06-25,己悼备,37,17,0.032,0.027,0.3,0.005
2016-06-26,己悼备,37,19,0.038,0.022,0.2,0.005
2016-06-27,己悼备,37,21,0.028,0.041,0.3,0.005
2016-06-28,己悼备,64,39,0.036,0.041,0.4,0.005
2016-06-29,己悼备,45,25,0.034,0.037,0.3,0.005
2016-06-30,己悼备,28,18,0.025,0.026,0.3,0.005
2016-07-01,己悼备,21,13,0.019,0.027,0.3,0.005
2016-07-02,己悼备,15,9,0.025,0.023,0.2,0.005
2016-07-03,己悼备,43,28,0.038,0.02,0.3,0.005
2016-07-04,己悼备,22,14,0.025,0.02,0.3,0.004
2016-07-05,己悼备,15,8,0.016,0.019,0.2,0.005
2016-07-06,己悼备,19,9,0.018,0.031,0.3,0.005
2016-07-07,己悼备,43,26,0.015,0.044,0.5,0.006
2016-07-08,己悼备,55,33,0.024,0.035,0.4,0.005
2016-07-09,己悼备,42,22,0.017,0.03,0.4,0.005
2016-07-10,己悼备,39,22,0.021,0.033,0.4,0.005
2016-07-11,己悼备,57,36,0.028,0.038,0.4,0.005
2016-07-12,己悼备,40,28,0.016,0.034,0.3,0.005
2016-07-13,己悼备,34,18,0.008,0.027,0.2,0.005
2016-07-14,己悼备,26,15,0.023,0.021,0.2,0.005
2016-07-15,己悼备,20,11,0.02,0.017,0.2,0.005
2016-07-16,己悼备,10,5,0.015,0.015,0.2,0.005
2016-07-17,己悼备,16,10,0.013,0.017,0.2,0.005
2016-07-18,己悼备,30,17,0.01,0.029,0.3,0.006
2016-07-19,己悼备,39,23,0.026,0.031,0.4,0.006
2016-07-20,己悼备,39,24,0.027,0.027,0.3,0.006
2016-07-21,己悼备,36,22,0.025,0.028,0.3,0.005
2016-07-22,己悼备,41,24,0.024,0.031,0.3,0.005
2016-07-23,己悼备,46,28,0.018,0.031,0.3,0.005
2016-07-24,己悼备,37,24,0.013,0.021,0.3,0.005
2016-07-25,己悼备,41,29,0.016,0.026,0.2,0.006
2016-07-26,己悼备,36,23,0.011,0.022,0.3,0.006
2016-07-27,己悼备,35,23,0.012,0.021,0.3,0.005
2016-07-28,己悼备,60,39,0.027,0.025,0.5,0.006
2016-07-29,己悼备,44,27,0.014,0.035,0.6,0.006
2016-07-30,己悼备,39,28,0.021,0.027,0.4,0.006
2016-07-31,己悼备,37,24,0.015,0.018,0.4,0.006
2016-08-01,己悼备,37,22,0.012,0.027,0.4,0.006
2016-08-02,己悼备,30,17,0.009,0.028,0.4,0.005
2016-08-03,己悼备,30,18,0.02,0.032,0.4,0.005
2016-08-04,己悼备,32,19,0.023,0.027,0.4,0.006
2016-08-05,己悼备,41,27,0.029,0.036,0.5,0.006
2016-08-06,己悼备,60,38,0.041,0.033,0.5,0.006
2016-08-07,己悼备,39,27,0.03,0.027,0.4,0.006
2016-08-08,己悼备,42,25,0.024,0.027,0.4,0.007
2016-08-09,己悼备,34,21,0.025,0.033,0.4,0.005
2016-08-10,己悼备,55,35,0.027,0.037,0.5,0.006
2016-08-11,己悼备,36,20,0.021,0.028,0.4,0.006
2016-08-12,己悼备,47,30,0.021,0.029,0.4,0.006
2016-08-13,己悼备,41,27,0.017,0.021,0.3,0.006
2016-08-14,己悼备,38,27,0.017,0.017,0.3,0.006
2016-08-15,己悼备,40,25,0.024,0.022,0.4,0.005
2016-08-16,己悼备,54,29,0.027,0.032,0.5,0.006
2016-08-17,己悼备,44,26,0.031,0.027,0.4,0.006
2016-08-18,己悼备,58,36,0.032,0.038,0.5,0.006
2016-08-19,己悼备,60,40,0.028,0.04,0.4,0.006
2016-08-20,己悼备,32,19,0.028,0.021,0.3,0.006
2016-08-21,己悼备,28,16,0.034,0.015,0.3,0.006
2016-08-22,己悼备,30,18,0.028,0.026,0.3,0.007
2016-08-23,己悼备,36,19,0.021,0.031,0.3,0.006
2016-08-24,己悼备,35,22,0.018,0.035,0.3,0.007
2016-08-25,己悼备,31,19,0.015,0.032,0.3,0.007
2016-08-26,己悼备,14,6,0.023,0.015,0.2,0.006
2016-08-27,己悼备,13,5,0.026,0.014,0.1,0.007
2016-08-28,己悼备,11,4,0.018,0.011,0.1,0.006
2016-08-29,己悼备,16,6,0.014,0.019,0.4,0.007
2016-08-30,己悼备,31,9,0.014,0.022,0.6,0.008
2016-08-31,己悼备,17,7,0.011,0.021,0.4,0.007
2016-09-01,己悼备,60,32,0.029,0.03,0.6,0.007
2016-09-02,己悼备,31,23,0.028,0.024,0.5,0.006
2016-09-03,己悼备,22,14,0.023,0.024,0.5,0.006
2016-09-04,己悼备,21,13,0.018,0.02,0.5,0.006
2016-09-05,己悼备,33,18,0.016,0.029,0.5,0.006
2016-09-06,己悼备,60,19,0.016,0.038,0.6,0.007
2016-09-07,己悼备,80,52,0.019,0.036,0.6,0.007
2016-09-08,己悼备,48,31,0.011,0.041,0.6,0.007
2016-09-09,己悼备,41,27,0.016,0.035,0.6,0.007
2016-09-10,己悼备,41,29,0.024,0.03,0.5,0.006
2016-09-11,己悼备,44,32,0.027,0.023,0.5,0.006
2016-09-12,己悼备,29,19,0.014,0.027,0.5,0.006
2016-09-13,己悼备,17,9,0.015,0.028,0.4,0.007
2016-09-14,己悼备,33,23,0.022,0.027,0.5,0.006
2016-09-15,己悼备,45,30,0.017,0.029,0.5,0.007
2016-09-16,己悼备,62,41,0.025,0.025,0.5,0.007
2016-09-17,己悼备,29,20,0.029,0.011,0.4,0.007
2016-09-18,己悼备,22,14,0.03,0.008,0.4,0.006
2016-09-19,己悼备,13,6,0.023,0.012,0.3,0.007
2016-09-20,己悼备,18,12,0.024,0.017,0.3,0.007
2016-09-21,己悼备,38,24,0.02,0.026,0.3,0.005
2016-09-22,己悼备,45,29,0.022,0.029,0.4,0.005
2016-09-23,己悼备,55,36,0.024,0.036,0.4,0.005
2016-09-24,己悼备,66,42,0.028,0.042,0.5,0.006
2016-09-25,己悼备,61,40,0.022,0.038,0.5,0.005
2016-09-26,己悼备,51,33,0.009,0.046,0.5,0.005
2016-09-27,己悼备,36,24,0.005,0.039,0.5,0.004
2016-09-28,己悼备,34,20,0.004,0.036,0.5,0.004
2016-09-29,己悼备,13,7,0.012,0.018,0.3,0.003
2016-09-30,己悼备,31,15,0.007,0.034,0.4,0.004
2016-10-01,己悼备,45,26,0.007,0.04,0.5,0.004
2016-10-02,己悼备,27,17,0.008,0.025,0.4,0.003
2016-10-03,己悼备,16,9,0.012,0.025,0.4,0.003
2016-10-04,己悼备,31,15,0.017,0.024,0.4,0.004
2016-10-05,己悼备,27,12,0.019,0.023,0.3,0.003
2016-10-06,己悼备,41,19,0.015,0.031,0.4,0.003
2016-10-07,己悼备,27,12,0.012,0.027,0.3,0.003
2016-10-08,己悼备,21,11,0.02,0.02,0.3,0.003
2016-10-09,己悼备,19,9,0.022,0.012,0.2,0.003
2016-10-10,己悼备,26,13,0.014,0.032,0.3,0.003
2016-10-11,己悼备,44,23,0.008,0.049,0.4,0.004
2016-10-12,己悼备,61,32,0.017,0.03,0.4,0.004
2016-10-13,己悼备,47,21,0.011,0.042,0.4,0.004
2016-10-14,己悼备,82,45,0.006,0.06,0.6,0.005
2016-10-15,己悼备,88,49,0.01,0.05,0.6,0.004
2016-10-16,己悼备,55,37,0.008,0.034,0.4,0.004
2016-10-17,己悼备,52,33,0.006,0.035,0.5,0.003
2016-10-18,己悼备,57,30,0.01,0.038,0.8,0.003
2016-10-19,己悼备,65,36,0.013,0.045,0.8,0.004
2016-10-20,己悼备,66,37,0.003,0.047,1,0.004
2016-10-21,己悼备,34,12,0.016,0.028,0.4,0.004
2016-10-22,己悼备,31,16,0.019,0.018,0.4,0.003
2016-10-23,己悼备,11,6,0.023,0.01,0.3,0.003
2016-10-24,己悼备,16,8,0.014,0.023,0.4,0.003
2016-10-25,己悼备,15,9,0.009,0.026,0.8,0.003
2016-10-26,己悼备,41,22,0.004,0.029,1.2,0.004
2016-10-27,己悼备,47,24,0.006,0.019,0.9,0.004
2016-10-28,己悼备,39,17,0.015,0.014,0.5,0.004
2016-10-29,己悼备,40,17,0.02,0.012,0.4,0.003
2016-10-30,己悼备,28,11,0.011,0.017,0.5,0.004
2016-10-31,己悼备,32,15,0.008,0.02,0.6,0.004
2016-11-01,己悼备,25,10,0.018,0.013,0.4,0.003
2016-11-02,己悼备,38,14,0.008,0.025,0.5,0.004
2016-11-03,己悼备,42,22,0.009,0.039,0.5,0.005
2016-11-04,己悼备,62,32,0.018,0.033,0.5,0.005
2016-11-05,己悼备,80,43,0.026,,0.5,0.005
2016-11-06,己悼备,33,18,0.021,,0.3,0.004
2016-11-07,己悼备,38,24,0.015,0.026,0.4,0.004
2016-11-08,己悼备,68,52,0.022,0.025,0.6,0.003
2016-11-09,己悼备,45,28,0.013,0.041,0.6,0.004
2016-11-10,己悼备,43,25,0.004,0.054,0.7,0.005
2016-11-11,己悼备,52,20,0.011,0.045,0.7,0.004
2016-11-12,己悼备,79,29,0.011,0.053,0.8,0.005
2016-11-13,己悼备,61,28,0.009,0.047,0.8,0.004
2016-11-14,己悼备,55,28,0.005,0.053,0.8,0.005
2016-11-15,己悼备,64,21,0.016,0.033,0.5,0.004
2016-11-16,己悼备,60,30,0.004,0.05,0.7,0.005
2016-11-17,己悼备,83,42,0.004,0.052,0.8,0.005
2016-11-18,己悼备,105,62,0.005,0.05,0.9,0.005
2016-11-19,己悼备,58,36,0.007,0.039,0.6,0.005
2016-11-20,己悼备,49,26,0.018,0.022,0.6,0.004
2016-11-21,己悼备,68,32,0.007,0.04,0.6,0.004
2016-11-22,己悼备,48,21,0.017,0.021,0.4,0.004
2016-11-23,己悼备,45,17,0.013,0.024,0.5,0.004
2016-11-24,己悼备,31,13,0.016,0.025,0.6,0.004
2016-11-25,己悼备,42,20,0.007,0.043,1,0.005
2016-11-26,己悼备,54,34,0.003,0.043,,0.004
2016-11-27,己悼备,69,45,0.004,0.036,,0.004
2016-11-28,己悼备,88,43,0.012,0.029,,0.004
2016-11-29,己悼备,44,23,0.006,0.044,0.8,0.005
2016-11-30,己悼备,46,26,0.003,0.047,0.8,0.006
2016-12-01,己悼备,53,26,0.018,0.023,0.5,0.005
2016-12-02,己悼备,41,17,0.008,0.04,0.6,0.005
2016-12-03,己悼备,59,31,0.005,0.049,0.8,0.005
2016-12-04,己悼备,85,53,0.003,0.055,1.1,0.006
2016-12-05,己悼备,85,55,0.012,0.034,0.8,0.005
2016-12-06,己悼备,28,12,0.014,0.028,0.5,0.004
2016-12-07,己悼备,53,27,0.004,0.047,0.6,0.005
2016-12-08,己悼备,61,33,0.003,0.049,0.7,0.005
2016-12-09,己悼备,33,21,0.014,0.028,0.5,0.004
2016-12-10,己悼备,36,21,0.014,0.03,0.4,0.004
2016-12-11,己悼备,36,22,0.013,0.035,0.5,0.004
2016-12-12,己悼备,49,29,0.003,0.047,0.7,0.004
2016-12-13,己悼备,65,41,0.007,0.047,0.8,0.005
2016-12-14,己悼备,56,34,0.005,0.033,0.6,0.004
2016-12-15,己悼备,37,18,0.016,0.023,0.4,0.004
2016-12-16,己悼备,34,16,0.012,0.033,0.4,0.004
2016-12-17,己悼备,63,34,0.003,0.053,0.8,0.006
2016-12-18,己悼备,58,38,0.004,0.049,0.9,0.005
2016-12-19,己悼备,40,26,0.004,0.041,0.6,0.004
2016-12-20,己悼备,61,36,0.003,0.053,0.9,0.005
2016-12-21,己悼备,43,26,0.005,0.037,0.6,0.004
2016-12-22,己悼备,29,23,0.009,0.027,0.5,0.004
2016-12-23,己悼备,55,39,0.016,0.02,0.5,0.004
2016-12-24,己悼备,68,54,0.009,0.028,0.6,0.004
2016-12-25,己悼备,58,44,0.005,0.035,0.7,0.004
2016-12-26,己悼备,42,29,0.005,0.039,0.7,0.004
2016-12-27,己悼备,43,28,0.018,0.021,0.4,0.004
2016-12-28,己悼备,45,25,0.008,0.038,0.5,0.005
2016-12-29,己悼备,37,17,0.013,0.028,0.4,0.004
2016-12-30,己悼备,44,25,0.006,0.044,0.6,0.005
2016-12-31,己悼备,59,37,0.003,0.054,0.9,0.005
2017-01-01,己悼备,77,53,0.003,0.045,0.8,0.005
2017-01-02,己悼备,112,80,0.014,0.038,0.7,0.005
2017-01-03,己悼备,82,52,0.011,0.046,0.5,0.005
2017-01-04,己悼备,57,35,0.006,0.057,0.6,0.005
2017-01-05,己悼备,39,23,0.014,0.033,0.5,0.004
2017-01-06,己悼备,23,13,0.013,0.037,0.4,0.004
2017-01-07,己悼备,59,35,0.004,0.052,0.6,0.005
2017-01-08,己悼备,32,20,0.012,0.034,0.4,0.004
2017-01-09,己悼备,63,47,0.024,0.023,0.5,0.005
2017-01-10,己悼备,34,15,0.02,0.023,0.3,0.004
2017-01-11,己悼备,25,11,0.013,0.033,0.4,0.004
2017-01-12,己悼备,29,15,0.018,0.026,0.4,0.004
2017-01-13,己悼备,29,13,0.021,0.021,0.4,0.004
2017-01-14,己悼备,48,12,0.026,0.012,0.4,0.004
2017-01-15,己悼备,29,13,0.015,0.024,0.4,0.004
2017-01-16,己悼备,48,24,0.008,0.04,0.6,0.004
2017-01-17,己悼备,69,42,0.004,0.057,0.9,0.005
2017-01-18,己悼备,98,70,0.006,0.053,1,0.006
2017-01-19,己悼备,105,71,0.007,0.051,0.9,0.005
2017-01-20,己悼备,57,40,0.016,0.032,0.6,0.005
2017-01-21,己悼备,49,35,0.007,0.042,0.7,0.004
2017-01-22,己悼备,79,27,0.029,0.014,0.4,0.005
2017-01-23,己悼备,47,34,0.021,0.025,0.5,0.004
2017-01-24,己悼备,38,26,0.011,0.041,0.6,0.004
2017-01-25,己悼备,48,34,0.007,0.052,0.8,0.004
2017-01-26,己悼备,64,47,0.01,0.052,0.8,0.005
2017-01-27,己悼备,117,19,0.025,0.016,0.4,0.003
2017-01-28,己悼备,34,12,0.01,0.032,0.5,0.004
2017-01-29,己悼备,26,15,0.005,0.037,0.6,0.004
2017-01-30,己悼备,49,33,0.026,0.015,0.4,0.004
2017-01-31,己悼备,30,17,0.01,0.037,0.5,0.004
2017-02-01,己悼备,37,20,0.017,0.031,0.5,0.004
2017-02-02,己悼备,33,16,0.015,0.034,0.5,0.004
2017-02-03,己悼备,67,43,0.014,0.048,0.7,0.005
2017-02-04,己悼备,100,66,0.004,0.057,1,0.005
2017-02-05,己悼备,73,54,0.012,0.037,0.7,0.004
2017-02-06,己悼备,42,26,0.026,0.021,0.4,0.004
2017-02-07,己悼备,41,21,0.008,0.042,0.6,0.004
2017-02-08,己悼备,55,27,0.008,0.044,0.7,0.005
2017-02-09,己悼备,54,17,0.023,0.018,0.4,0.004
2017-02-10,己悼备,35,16,0.025,0.016,0.4,0.003
2017-02-11,己悼备,30,15,0.023,0.018,0.3,0.003
2017-02-12,己悼备,32,17,0.017,0.031,0.5,0.004
2017-02-13,己悼备,45,26,0.006,0.048,0.6,0.004
2017-02-14,己悼备,54,28,0.015,0.042,0.5,0.004
2017-02-15,己悼备,65,38,0.006,0.062,0.8,0.006
2017-02-16,己悼备,69,41,0.009,0.056,0.8,0.005
2017-02-17,己悼备,45,18,0.025,0.02,0.4,0.003
2017-02-18,己悼备,32,20,0.024,0.024,0.4,0.004
2017-02-19,己悼备,44,28,0.014,0.035,0.5,0.004
2017-02-20,己悼备,45,26,0.029,0.017,0.4,0.003
2017-02-21,己悼备,46,30,0.013,0.043,0.6,0.004
2017-02-22,己悼备,39,26,0.007,0.041,0.6,0.004
2017-02-23,己悼备,35,24,0.031,0.017,0.4,0.004
2017-02-24,己悼备,27,18,0.021,0.03,0.4,0.004
2017-02-25,己悼备,46,29,0.017,0.038,0.5,0.005
2017-02-26,己悼备,47,33,0.019,0.03,0.5,0.004
2017-02-27,己悼备,43,26,0.012,0.043,0.5,0.004
2017-02-28,己悼备,49,30,0.012,0.051,0.6,0.005
2017-03-01,己悼备,59,43,0.018,0.043,0.5,0.005
2017-03-02,己悼备,31,21,0.025,0.022,0.4,0.003
2017-03-03,己悼备,44,25,0.015,0.04,0.5,0.004
2017-03-04,己悼备,56,34,0.011,0.048,0.6,0.005
2017-03-05,己悼备,67,51,0.019,0.039,0.6,0.004
2017-03-06,己悼备,37,28,0.031,0.017,0.3,0.004
